'Rosie Cooper','rosie4westlancs','West Lancashire'
'Rushanara Ali','rushanaraali','Bethnal Green and Bow'
'Russell Brown','russellbrownmp','Dumfries and Galloway'
'Sadiq Khan','SadiqKhan','Tooting'
'Sam Gyimah','SamGyimah','East Surrey'
'Sarah Wollaston','drwollastonmp','Totnes'
'Shabana Mahmood','ShabanaMahmood','Birmingham, Ladywood'
'Sharon Hodgson','SharonHodgsonMP','Gateshead East and Washington West'
'Sheila Gilmore','SheilaGilmoreMP','Edinburgh East'
'Sheryll Murray','sheryllmurray','South East Cornwall'
'Simon Danczuk','SimonDanczuk','Rochdale'
'Simon Hughes','SimonHughesMP','North Southwark and Bermondsey'
'Simon Kirby','SimonKirbyMP','Brighton, Kemptown'
'Simon Reevell','simonreevell','Dewsbury'
'Simon Wright','SimonWrightMP','Norwich South'
'Siobhain McDonagh','SiobhainMP','Mitcham and Morden'
'Stella Creasy','stellacreasy','Walthamstow'
'Stephen Crabb','SCrabbMP','Preseli Pembrokeshire'
'Stephen Doughty','SDoughtyMP','Cardiff South and Penarth'
'Stephen Gilbert','stephen_gilbert','St Austell and Newquay'
'Stephen Hammond','SHammondMP','Wimbledon'
'Stephen McPartland','SMcPartlandMP','Stevenage'
'Stephen Mosley','mp4chester','City of Chester'
'Stephen Timms','stephenctimms','East Ham'
'Stephen Twigg','StephenTwigg','Liverpool, West Derby'
'Stephen Williams','swilliamsmp','Bristol West'
'Steve Baker','SteveBakerMP','Wycombe'
'Steve Barclay','SteveBarclayMP','North East Cambridgeshire'
'Steve Brine','sbrine','Winchester'
'Steve McCabe','steve_mccabe','Birmingham, Hall Green'
'Steve Rotheram','SteveRotheramMP','Liverpool, Walton'
'Steve Webb','stevewebb1','Northavon'
'Stewart Hosie','StewartHosieMP','Dundee East'
'Stewart Jackson','SJacksonMP','Peterborough'
'Stuart Andrew','StuartAndrewMP','Pudsey'
'Teresa Pearce','tpearce003','Erith and Thamesmead'
'Tessa Jowell','jowellt','Dulwich and West Norwood'
'Tessa Munt','tessamunt','Wells'
'Therese Coffey','theresecoffey','Suffolk Coastal'
'Thomas Docherty','Thomas_Docherty','Dunfermline and West Fife'
'Tim Farron','timfarron','Westmorland and Lonsdale'
'Tim Loughton','timloughton','East Worthing and Shoreham'
'Tobias Ellwood','TobiasEllwoodMP','Bournemouth East'
'Toby Perkins','tobyperkinsmp','Chesterfield'
'Tom Blenkinsop','TomBlenkinsop','Middlesbrough South and East Cleveland'
'Tom Brake','thomasbrake','Carshalton and Wallington'
'Tom Greatrex','tomgreatrexmp','Rutherglen and Hamilton West'
'Tom Harris','TomHarrisMP','Glasgow South'
'Tom Watson','tom_watson','West Bromwich East'
'Tony Baldry','TonyBaldry','Banbury'
'Tracey Crouch','tracey_crouch','Chatham and Aylesford'
'Tristram Hunt','TristramHuntMP','Stoke-on-Trent Central'
'Vernon Coaker','Vernon_CoakerMP','Gedling'
'Vince Cable','vincecable','Twickenham'
'Virendra Sharma','VirendraSharma','Ealing, Southall'
'Wayne David','WayneDavidMP','Caerphilly'
'William Bain','William_Bain','Glasgow North East'
'William Hague','WilliamJHague','Richmond (Yorks)'
'Yasmin Qureshi','YasminQureshiMP','Bolton South East'
'Yvette Cooper','YvetteCooperMP','Pontefract and Castleford'
'Yvonne Fovargue','Y_FovargueMP','Makerfield'
'Zac Goldsmith','ZacGoldsmith','Richmond Park'
